week,region,avg_delivery_days,avg_late_rate,rolling_mean,rolling_std
1,East,3.027857142857143,0.038071428571428576,,
2,East,3.0235714285714286,0.04246428571428572,,
3,East,2.9364285714285714,0.038714285714285715,,
4,East,2.927857142857143,0.03985714285714286,,
5,East,3.0039285714285713,0.038214285714285715,2.9789285714285714,0.05416496595969562
6,East,2.935714285714286,0.0375,2.972946428571429,0.04792139876071741
7,East,2.9667857142857144,0.040035714285714286,2.9509821428571428,0.03551057976871453
8,East,2.898214285714286,0.038,2.9585714285714286,0.03459557401600128
9,East,2.9014285714285712,0.03621428571428571,2.9511607142857144,0.044983344423355574
10,East,3.031071428571429,0.03978571428571428,2.925535714285714,0.032315015149024816
11,East,2.9807142857142854,0.039964285714285716,2.9493750000000003,0.06296485292670587
12,East,2.968571428571429,0.04064285714285714,2.952857142857143,0.0646122658475869
13,East,3.0503571428571425,0.039214285714285715,2.970446428571429,0.053378521725809557
14,East,3.057857142857143,0.03957142857142858,3.0076785714285714,0.03926460471816225
15,East,2.986785714285714,0.04153571428571429,3.014375,0.04624724205787013
16,East,2.994642857142857,0.04332142857142857,3.015892857142857,0.04485283949633963
17,East,2.9899999999999998,0.04257142857142857,3.022410714285714,0.03686754075368398
18,East,3.004642857142857,0.03885714285714286,3.0073214285714283,0.033844507387051775
19,East,3.0135714285714283,0.04057142857142858,2.994017857142857,0.007783065298601372
20,East,2.962142857142857,0.03932142857142857,3.0007142857142854,0.01052612558009761
21,East,3.0139285714285715,0.036642857142857144,2.9925892857142857,0.022503542804981416
22,East,3.0489285714285717,0.039964285714285716,2.9985714285714287,0.024662690431496433
23,East,2.995,0.04146428571428572,3.009642857142857,0.03574641412014703
24,East,2.9292857142857143,0.04078571428571428,3.005,0.03626832166592036
25,East,3.0289285714285716,0.03935714285714286,2.996785714285714,0.050240069922826064
26,East,3.025357142857143,0.04139285714285714,3.0005357142857143,0.052457060509325276
1,North,2.967142857142857,0.03717857142857143,,
2,North,3.007142857142857,0.039071428571428576,,
3,North,3.0025,0.04164285714285714,,
4,North,3.005714285714286,0.04039285714285714,,
5,North,3.0107142857142857,0.04278571428571428,2.995625,0.019087105648600017
6,North,2.94,0.040857142857142856,3.0065178571428572,0.0034053654143785523
7,North,3.0239285714285713,0.04239285714285714,2.9897321428571426,0.033326583075013294
8,North,2.9274999999999998,0.03828571428571429,2.9950892857142857,0.03752139412397662
9,North,2.9153571428571428,0.03710714285714285,2.975535714285714,0.04881808867943196
10,North,3.063928571428572,0.041607142857142856,2.951696428571428,0.04919451102476676
11,North,3.010357142857143,0.03828571428571429,2.9826785714285715,0.0727552391923219
12,North,3.024642857142857,0.04032142857142857,2.979285714285714,0.07047096183950548
13,North,3.0171428571428573,0.04203571428571429,3.003571428571429,0.06302062074794125
