week,region,units_sold,revenue,avg_price,avg_marketing_spend,avg_discount,rolling_mean,rolling_std
1,East,474,958926.0,2474.0,145.94857142857143,0.0,,
2,East,475,971625.0,2474.0,153.14214285714283,0.0,,
3,East,470,952030.0,2474.0,141.7082142857143,0.0,,
4,East,488,971712.0,2474.0,145.34,0.0,,
5,East,462,921738.0,2474.0,146.5075,0.0,476.75,7.804912982645397
6,East,466,952234.0,2474.0,146.54464285714286,0.0,473.75,10.904891868637062
7,East,515,980328.1,2474.0,154.45142857142858,0.0375,471.5,11.474609652039003
8,East,467,942833.0,2474.0,146.79678571428573,0.0,482.75,24.34988021873345
9,East,474,953226.0,2474.0,155.2607142857143,0.0,477.5,25.09315975852118
10,East,455,920245.0,2474.0,149.8967857142857,0.0,480.5,23.27373340628157
11,East,478,951022.0,2474.0,145.80107142857142,0.0,477.75,26.043233286210835
12,East,466,948534.0,2474.0,142.38035714285715,0.0,468.5,10.082988974836109
13,East,475,959825.0,2474.0,155.18357142857144,0.0,468.25,10.144785195688794
14,East,459,927841.0,2474.0,155.26142857142855,0.0,468.5,10.344080432788592
15,East,461,935539.0,2474.0,145.37357142857144,0.0,469.5,8.660254037844377
16,East,475,966425.0,2474.0,150.0767857142857,0.0,465.25,7.13559154286921
17,East,470,940330.0,2474.0,142.50178571428572,0.0,467.5,8.698658900466588
18,East,477,947323.0,2474.0,153.44785714285715,0.0,466.25,7.544313531837512
19,East,463,937637.0,2474.0,145.58428571428573,0.0,470.75,7.1355915428692045
20,East,467,941133.0,2474.0,139.1082142857143,0.0,471.25,6.2383224240709545
21,East,459,927541.0,2474.0,144.40642857142856,0.0,469.25,5.909032633745265
22,East,463,926137.0,2474.0,152.6967857142857,0.0,466.5,7.724420150837635
23,East,471,960329.0,2474.0,148.68535714285713,0.0,463.0,3.2659863237108797
24,East,476,964624.0,2474.0,139.8267857142857,0.0,465.0,5.163977794943206
25,East,461,927339.0,2474.0,143.18964285714284,0.0,467.25,7.675719293112962
26,East,469,950331.0,2474.0,159.56107142857144,0.0,467.75,6.994045086119087
1,North,466,937234.0,2474.0,156.59964285714287,0.0,,
2,North,487,985813.0,2474.0,157.02857142857144,0.0,,
3,North,463,926737.0,2474.0,152.31071428571428,0.0,,
4,North,469,958831.0,2474.0,135.9307142857143,0.0,,
5,North,470,960430.0,2474.0,146.66428571428574,0.0,471.25,10.781929326423912
6,North,470,951730.0,2474.0,130.99857142857144,0.0,472.25,10.307764064044152
7,North,460,927340.0,2474.0,139.98392857142858,0.0,468.0,3.3665016461206814
8,North,460,920740.0,2474.0,150.29142857142855,0.0,467.25,4.856267428111149
9,North,467,937833.0,2474.0,148.0292857142857,0.0,465.0,5.773502691896256
10,North,491,985209.0,2474.0,158.90928571428572,0.0,464.25,5.057996968497836
11,North,456,919244.0,2474.0,149.0,0.0,469.5,14.708274315273474
12,North,464,930936.0,2474.0,142.88285714285715,0.0,468.5,15.673757260678334
13,North,470,949230.0,2474.0,147.91464285714284,0.0,469.5,15.066519173319369
14,North,459,921841.0,2474.0,149.57214285714284,0.0,470.25,14.974979131871944
15,North,412,841688.0,2474.0,156.47035714285715,0.0,462.25,6.130524719249844
16,North,327,671573.0,2474.0,148.21714285714285,0.0,451.25,26.5502667908755
17,North,330,657870.0,2474.0,146.03428571428572,0.0,417.0,65.05894762956643
18,North,333,665867.0,2474.0,145.68178571428572,0.0,382.0,64.69930447848724
19,North,362,719338.0,2474.0,141.33678571428572,0.0,350.5,41.073105555825684
20,North,480,953720.0,2474.0,145.37321428571428,0.0,338.0,16.186414056238608
21,North,464,937436.0,2474.0,154.2067857142857,0.0,376.25,70.65585609133895
22,North,463,945937.0,2474.0,143.71357142857144,0.0,409.75,73.1408458614838
23,North,471,947329.0,2474.0,147.74392857142857,0.0,442.25,54.064005277695294
24,North,476,941324.0,2474.0,147.90535714285716,0.0,469.5,7.852812659593049
25,North,460,937040.0,2474.0,148.42857142857142,0.0,468.5,6.137317546507175
26,North,468,952332.0,2474.0,144.25321428571428,0.0,467.5,7.325753658611846
1,South,480,953220.0,2474.0,148.4742857142857,0.0,,
2,South,460,919340.0,2474.0,151.5442857142857,0.0,,
3,South,471,945829.0,2474.0,156.93928571428572,0.0,,
4,South,476,961424.0,2474.0,152.4557142857143,0.0,,
5,South,459,938741.0,2474.0,156.0807142857143,0.0,471.75,8.655441448399191
6,South,462,942938.0,2474.0,145.71107142857142,0.0,466.5,8.346656017032611
7,South,466,940034.0,2474.0,139.30035714285714,0.0,467.0,7.874007874011813
8,South,470,947330.0,2474.0,148.53535714285712,0.0,465.75,7.410578025138574
9,South,478,967522.0,2474.0,155.47035714285715,0.0,464.25,4.787135538781693
10,South,468,988723.6,2623.9700000000003,150.40785714285715,0.0,469.0,6.831300510639734
11,South,472,1010418.88,2623.9700000000003,146.915,0.0,470.5,5.2599112793531715
12,South,457,975734.6,2623.9700000000003,150.93357142857144,0.0,472.0,4.320493798938579
13,South,474,995717.48,2623.9700000000003,137.2257142857143,0.0,468.75,8.845903006477071
14,South,464,1008727.12,2623.9700000000003,150.8632142857143,0.0,467.75,7.588368291888148
15,South,465,979126.84,2623.9700000000003,143.14285714285714,0.0,466.75,7.804912982645406
16,South,457,964034.96,2623.9700000000003,146.91357142857143,0.0,465.0,6.97614984548546
17,South,455,957936.72,2623.9700000000003,157.20464285714283,0.0,465.0,6.97614984548546
18,South,465,996226.36,2623.9700000000003,146.85535714285714,0.0,460.25,4.991659710623992
19,South,472,994219.6,2623.9700000000003,145.1175,0.0,460.5,5.2599112793531795
20,South,482,1013509.48,2623.9700000000003,142.46107142857142,0.0,462.25,7.804912982645406
21,South,465,997726.12,2623.9700000000003,149.66892857142855,0.0,468.5,11.38712723502582
